id,state,ev_bush,ev_gore,pv_bush,pv_gore,pv_others,total_pv
0,AL,9,0,941173,692611,32488,1666272
1,AK,3,0,167398,79004,39158,285560
2,AZ,8,0,781652,685341,65023,1532016
3,AR,6,0,472940,422768,26073,921781
4,CA,0,54,4567429,5861203,537224,10965856
5,CO,8,0,883748,738227,119393,1741368
6,CT,0,8,561094,816015,82416,1459525
7,DE,0,3,137288,180068,10266,327622
8,DC,0,2,18073,171923,11898,201894
9,FL,25,0,2912790,2912253,138067,5963110
10,GA,13,0,1419720,1116230,60854,2596804
11,HI,0,4,137845,205286,24820,367951
12,ID,4,0,336937,138637,26047,501621
13,IL,0,22,2019421,2589026,133676,4742123
14,IN,12,0,1245836,901980,51486,2199302
15,IA,0,7,634373,638517,42673,1315563
16,KS,6,0,622332,399276,50610,1072218
17,KY,8,0,872492,638898,32797,1544187
18,LA,9,0,927871,792344,45441,1765656
19,ME,0,4,286616,319951,45250,651817
20,MD,0,10,813797,1145782,65901,2025480
21,MA,0,12,878502,1616487,207995,2702984
22,MI,0,18,1953139,2170418,108944,4232501
23,MN,0,10,1109659,1168266,160760,2438685
24,MS,7,0,572844,404614,16726,994184
25,MO,11,0,1189924,1111138,58830,2359892
26,MT,3,0,240178,137126,33693,410997
27,NE,5,0,433862,231780,31377,697019
28,NV,4,0,301575,279978,27417,608970
29,NH,4,0,273559,266348,29174,569081
30,NJ,0,15,1284173,1788850,114203,3187226
31,NM,0,5,286417,286783,25405,598605
32,NY,0,33,2403374,4107697,310928,6821999
33,NC,14,0,1631163,1257692,22407,2911262
34,ND,3,0,174852,95284,18120,288256
35,OH,21,0,2351209,2186190,168058,4705457
36,OK,8,0,744337,474276,15616,1234229
37,OR,0,7,713577,720342,100049,1533968
38,PA,0,23,2281127,2485967,146025,4913119
39,RI,0,4,130555,249508,29049,409112
40,SC,8,0,785937,565561,31219,1382717
41,SD,3,0,190700,118804,6765,316269
42,TN,11,0,1061949,981720,32512,2076181
43,TX,32,0,3799639,2433746,174252,6407637
44,UT,5,0,515096,203053,52605,770754
45,VT,0,3,119775,149022,25511,294308
46,VA,13,0,1437490,1217290,84667,2739447
47,WA,0,11,1108864,1247652,130917,2487433
48,WV,5,0,336475,295497,16152,648124
49,WI,0,11,1237279,1242987,118341,2598607
50,WY,3,0,147947,60481,9923,218351
