id,state,party,candidate
0,Iowa,Republican,Candidate X
1,South Dakota,Democrat,Candidate Y
2,Michigan,Democrat,Candidate X
3,Oregon,Republican,Candidate X
4,Wisconsin,Republican,Candidate X
5,Illinois,Republican,Candidate Y
6,Indiana,Democrat,Candidate Y
7,Minnesota,Republican,Candidate X
8,New Hampshire,Republican,Candidate Y
9,North Carolina,Democrat,Candidate X
10,District of Columbia,Democrat,Candidate X
11,Montana,Democrat,Candidate X
12,Alabama,Republican,Candidate Y
13,Nebraska,Democrat,Candidate X
14,North Carolina,Democrat,Candidate Y
15,Missouri,Republican,Candidate Y
16,Kentucky,Democrat,Candidate X
17,Alabama,Republican,Candidate X
18,District of Columbia,Democrat,Candidate X
19,Wisconsin,Democrat,Candidate X
20,Hawaii,Republican,Candidate X
21,Connecticut,Democrat,Candidate Y
22,Alaska,Democrat,Candidate Y
23,Florida,Republican,Candidate Y
24,Nebraska,Democrat,Candidate X
25,Indiana,Democrat,Candidate X
26,Tennessee,Democrat,Candidate X
27,Nebraska,Democrat,Candidate X
28,Massachusetts,Republican,Candidate Y
29,Oregon,Democrat,Candidate X
30,New Hampshire,Republican,Candidate X
31,Kentucky,Democrat,Candidate X
32,Nebraska,Democrat,Candidate Y
33,Kentucky,Democrat,Candidate Y
34,Oregon,Republican,Candidate Y
35,Illinois,Republican,Candidate X
36,Alabama,Democrat,Candidate X
37,Oklahoma,Democrat,Candidate X
38,Arizona,Republican,Candidate X
39,Nevada,Republican,Candidate X
40,Hawaii,Democrat,Candidate X
41,Washington,Democrat,Candidate Y
42,Vermont,Democrat,Candidate Y
43,West Virginia,Democrat,Candidate X
44,Alabama,Republican,Candidate X
45,Texas,Democrat,Candidate Y
46,Nevada,Democrat,Candidate Y
47,Puerto Rico,Democrat,Candidate Y
48,Florida,Republican,Candidate X
49,Nebraska,Republican,Candidate X
50,Indiana,Republican,Candidate X
51,Alaska,Republican,Candidate X
52,Texas,Republican,Candidate Y
53,Wisconsin,Democrat,Candidate Y
54,Wisconsin,Democrat,Candidate Y
55,Utah,Republican,Candidate Y
56,West Virginia,Republican,Candidate X
57,Florida,Republican,Candidate X
58,Ohio,Democrat,Candidate Y
59,Kentucky,Democrat,Candidate X
60,Georgia,Republican,Candidate X
61,Vermont,Democrat,Candidate Y
62,Arizona,Republican,Candidate Y
63,Connecticut,Republican,Candidate Y
64,Oregon,Republican,Candidate X
65,Alaska,Republican,Candidate X
66,Illinois,Republican,Candidate X
67,New Jersey,Democrat,Candidate Y
68,Massachusetts,Republican,Candidate X
69,Hawaii,Democrat,Candidate Y
70,Montana,Republican,Candidate X
71,Colorado,Democrat,Candidate Y
72,Wyoming,Republican,Candidate X
73,Texas,Republican,Candidate Y
74,New Hampshire,Republican,Candidate Y
75,New Mexico,Democrat,Candidate Y
76,Florida,Republican,Candidate X
77,Mississippi,Democrat,Candidate X
78,Ohio,Republican,Candidate X
79,Pennsylvania,Republican,Candidate X
80,Oregon,Republican,Candidate X
81,New Jersey,Democrat,Candidate X
82,Wyoming,Republican,Candidate Y
83,Idaho,Democrat,Candidate Y
84,Wisconsin,Democrat,Candidate Y
85,Wisconsin,Republican,Candidate X
86,Minnesota,Democrat,Candidate X
87,Utah,Republican,Candidate Y
88,Colorado,Democrat,Candidate Y
89,New Mexico,Democrat,Candidate Y
90,North Dakota,Democrat,Candidate X
91,Minnesota,Democrat,Candidate X
92,Delaware,Democrat,Candidate Y
93,Puerto Rico,Democrat,Candidate X
94,Puerto Rico,Republican,Candidate Y
95,Montana,Democrat,Candidate X
96,New Jersey,Democrat,Candidate X
97,Georgia,Democrat,Candidate X
98,Arkansas,Republican,Candidate Y
99,Hawaii,Republican,Candidate Y
100,South  Carolina,Democrat,Candidate Y
101,District of Columbia,Democrat,Candidate X
102,North Carolina,Republican,Candidate X
103,Montana,Republican,Candidate X
104,Oklahoma,Republican,Candidate Y
105,Wyoming,Republican,Candidate Y
106,Minnesota,Republican,Candidate X
107,Minnesota,Republican,Candidate X
108,Nebraska,Democrat,Candidate X
109,South  Carolina,Republican,Candidate Y
110,South  Carolina,Republican,Candidate X
111,Nevada,Republican,Candidate Y
112,New Jersey,Republican,Candidate Y
113,Montana,Democrat,Candidate X
114,Nevada,Democrat,Candidate X
115,Oklahoma,Republican,Candidate X
116,Vermont,Republican,Candidate X
117,Hawaii,Republican,Candidate X
118,Indiana,Democrat,Candidate Y
119,Arizona,Republican,Candidate Y
120,North Carolina,Republican,Candidate Y
121,Arkansas,Republican,Candidate Y
122,North Carolina,Republican,Candidate X
123,New Hampshire,Democrat,Candidate Y
124,Missouri,Democrat,Candidate X
125,Florida,Republican,Candidate X
126,MaineMaryland,Democrat,Candidate Y
127,Wyoming,Republican,Candidate Y
128,Missouri,Democrat,Candidate X
129,Kansas,Republican,Candidate Y
130,Iowa,Democrat,Candidate Y
131,Idaho,Republican,Candidate Y
132,California,Republican,Candidate Y
133,Delaware,Republican,Candidate Y
134,Mississippi,Democrat,Candidate X
135,Nebraska,Democrat,Candidate X
136,New Jersey,Democrat,Candidate X
137,Michigan,Republican,Candidate Y
138,South  Carolina,Republican,Candidate Y
139,Missouri,Republican,Candidate X
140,Ohio,Republican,Candidate Y
141,Kentucky,Republican,Candidate X
142,Arizona,Republican,Candidate Y
143,Idaho,Democrat,Candidate X
144,Hawaii,Democrat,Candidate X
145,North Dakota,Democrat,Candidate Y
146,New York,Democrat,Candidate X
147,Puerto Rico,Republican,Candidate X
148,Connecticut,Republican,Candidate X
149,MaineMaryland,Republican,Candidate Y
150,Mississippi,Republican,Candidate Y
151,West Virginia,Republican,Candidate Y
152,Wyoming,Democrat,Candidate Y
153,Alabama,Democrat,Candidate Y
154,Ohio,Democrat,Candidate X
155,Wyoming,Republican,Candidate Y
156,South  Carolina,Democrat,Candidate X
157,Utah,Republican,Candidate Y
158,Nebraska,Republican,Candidate Y
159,Utah,Democrat,Candidate X
160,Virginia,Democrat,Candidate X
161,Indiana,Democrat,Candidate X
162,MaineMaryland,Democrat,Candidate X
163,Alaska,Democrat,Candidate X
164,Oklahoma,Democrat,Candidate X
165,Minnesota,Republican,Candidate X
166,Rhode Island,Democrat,Candidate Y
167,Massachusetts,Republican,Candidate X
168,Vermont,Democrat,Candidate Y
169,Tennessee,Democrat,Candidate Y
170,North Carolina,Democrat,Candidate Y
171,Massachusetts,Republican,Candidate Y
172,South  Carolina,Republican,Candidate X
173,Missouri,Democrat,Candidate Y
174,New York,Republican,Candidate X
175,Utah,Republican,Candidate X
176,Florida,Democrat,Candidate Y
177,Pennsylvania,Republican,Candidate Y
178,Louisiana,Republican,Candidate Y
179,Alaska,Democrat,Candidate X
180,New York,Republican,Candidate X
181,Tennessee,Democrat,Candidate X
182,Vermont,Republican,Candidate X
183,Virginia,Democrat,Candidate Y
184,Colorado,Republican,Candidate Y
185,Indiana,Democrat,Candidate X
186,West Virginia,Democrat,Candidate Y
187,Louisiana,Republican,Candidate Y
188,Colorado,Democrat,Candidate Y
189,Michigan,Democrat,Candidate X
190,West Virginia,Republican,Candidate X
191,Wisconsin,Republican,Candidate X
192,Washington,Republican,Candidate X
193,North Carolina,Democrat,Candidate Y
194,Minnesota,Republican,Candidate X
195,MaineMaryland,Democrat,Candidate X
196,Tennessee,Republican,Candidate X
197,Oklahoma,Democrat,Candidate X
198,Kentucky,Democrat,Candidate Y
199,Georgia,Democrat,Candidate Y
200,Washington,Democrat,Candidate X
